Lamothe-Montravel#Aquitaine#La Gare, 24230 Lamothe-Montravel, France#44.8540881#0.022508
Langon#Aquitaine#Pont de Langon, 33140 Villenave-d'Ornon, France#44.75997#-0.55634
Laroque#Aquitaine#Laroque, 33300 Bordeaux, France#44.87435#-0.57071
Le Boucau#Aquitaine#Rue de la Gare, 40480 Vieux-Boucau-les-Bains, France#43.785724#-1.3966555
Le Bugue#Aquitaine#La Gare, 24260 Le Bugue, France#44.9064918#0.9434993
Le Buisson#Aquitaine#La Gare, 24390 Hautefort, France#45.267254#1.1386535
Le Teich#Aquitaine#Avenue de la Gare, 33470 Le Teich, France#44.6338152#-1.022847
Le Verdon#Aquitaine#Rue de la Gare, 33123 Verdon-sur-Mer, France#45.5477111#-1.0637467
Les Deux-Jumeaux#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Les Églisottes#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Les Eyzies#Aquitaine#Les Eyzies-de-Tayac-Sireuil, France#44.9345518#1.0159515
Les Versannes#Aquitaine#Les Versannes, La Douze, France#45.0893835#0.8570042
Lesparre#Aquitaine#Route de la Gare, 33340 Saint-Germain-d'Esteuil, France#45.2755293#-0.8907077
Libourne#Aquitaine#Route de la Gare, 33910 Saint-Denis-de-Pile, France#44.9796038#-0.2004063
Limeyrat#Aquitaine#La Gare, 24210 Limeyrat, France#45.1567634#0.9783079
Louhossoa#Aquitaine#Louhossoa, France#43.3165536#-1.356924
Ludon#Aquitaine#la Gare, 33810 Ambès, France#45.0286892#-0.5922588
Macau#Aquitaine#Avenue de la Gare, 33460 Macau, France#45.003507#-0.6183111
Marcheprime#Aquitaine#Marcheprime, France#44.6914591#-0.8541284
Margaux#Aquitaine#Avenue de la Gare, 33460 Margaux, France#45.0376944#-0.6846639
Marmande#Aquitaine#Marmande, France#44.4997929#0.1616627
Marsac (Dordogne)#Aquitaine#La Gare de Beaulieu, 24430 Annesse-et-Beaulieu, France#45.2033404#0.6108572
Mauzac#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Mauzens-Miremont#Aquitaine#Gare de la Gélie, 24330 La Douze, France#45.0425239#0.8978613
Milhac-d'Auberoche#Aquitaine#La Gare, 24330 Milhac-d'Auberoche, France#45.1287246#0.918024
Monsempron-Libos#Aquitaine#Avenue de la Gare, 47500 Monsempron-Libos, France#44.4843161#0.9435904
Montaut-Bétharram#Aquitaine#Avenue de la Gare, 64800 Coarraze, France#43.1724433#-0.2329681
Montcaret#Aquitaine#La Gare, 24230 Vélines, France#44.852301#0.1047217
Mont-de-Marsan#Aquitaine#Avenue de la Gare, 40000 Mont-de-Marsan, France#43.8854508#-0.5025678
Montpon-sur-l'Isle#Aquitaine#L'Isle, France#45.1874979#0.3697022
Morcenx#Aquitaine#Morcenx, France#44.0329943#-0.9129822
Moulis-Listrac#Aquitaine#Route de la Gare, 33480 Moulis-en-Médoc, France#45.0838488#-0.7439538
Mussidan#Aquitaine#Souchers Gare, 24400 Saint-Laurent-des-Hommes, France#45.0195897#0.2832393
Négrondes#Aquitaine#La Gare, 24800 Corgnac-sur-l'Isle, France#45.3709213#0.9526286
Neuvic (Dordogne)#Aquitaine#La Gare, 24190 Neuvic, France#45.0990698#0.4422262
Niversac#Aquitaine#Niversac, Saint-Laurent-sur-Manoire, France#45.1362307#0.811933
Ogeu-les-Bains#Aquitaine#Chemin de la Gare, 64260 Buzy, France#43.1479736#-0.4548369
Oloron-Ste-Marie#Aquitaine#Avenue de la Gare, 64400 Oloron-Sainte-Marie, France#43.1934299#-0.6122248
Ondres#Aquitaine#Ondres, France#43.5612509#-1.4477573
Orthez#Aquitaine#Avenue de la Gare, 64300 Orthez, France#43.4840702#-0.7641184
Ossès-St-Martin-d'Arossa#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Parempuyre#Aquitaine#Rue de la Gare, 33290 Parempuyre, France#44.9454513#-0.613523
Pau#Aquitaine#Pau, Boulevard Olof Palme, 64000 Pau, France#43.3308156#-0.3558198
Pauillac#Aquitaine#Route de Pauillac, 33320 Eysines, France#44.88447#-0.63489
Penne (Lot-et-Garonne)#Aquitaine#Avenue de la Gare, 47140 Penne-d'Agenais, France#44.3863785#0.8067362
Périgueux#Aquitaine#La Gare, 24000 Périgueux, France#45.1883305#0.7075646
Périgueux-St-Georges#Aquitaine#Saint-Georges, France#44.4417775#0.9347612
Pessac#Aquitaine#France, 33600 Pessac, France#44.79398#-0.66983
Peyrehorade#Aquitaine#Avenue de la Gare, 40300 Peyrehorade, France#43.5463234#-1.1145874
Pierroton#Aquitaine#Pierroton, Cestas, France#44.7409966#-0.7651799
Podensac#Aquitaine#Rue de la Gare, 33640 Arbanats, France#44.673349#-0.3946153
Pont-du-Casse#Aquitaine#Rue de la Gare, 47480 Pont-du-Casse, France#44.2338216#0.6767119
Pont-Noblia#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Portets#Aquitaine#Rue de la Gare, 33640 Portets, France#44.69388#-0.4250137
Port-Ste-Marie#Aquitaine#Avenue de la Gare, 47190 Aiguillon, France#44.2983293#0.3355634
Preignac#Aquitaine#Rue de la Gare, 33720 Barsac, France#44.6034124#-0.3189932
Prigonrieux-La Force#Aquitaine#La Force, France#44.86765#0.377297
Puyoô#Aquitaine#Route de la Gare, 40290 Habas, France#43.5746286#-0.9288743
